"~id","~start_node_id","~end_node_id","~relationship_type","rel_class","from_id","to_id","id","rel_id"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474752","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:0","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:38","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","16mzz5kV15mAyMAccFRkj4","3oNJ9yHi5FJuFnK8yg68Yt","1BA0VHArv909Ms582hMplk:16mzz5kV15mAyMAccFRkj4->3oNJ9yHi5FJuFnK8yg68Yt","1BA0VHArv909Ms582hMplk"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846977","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:39","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","3UegLqoYrB5QLJ1Fl0C0gk","2gTJhghMT81QThk15l2VwR","3pBPuLNjn30eidIcFKyIfx:3UegLqoYrB5QLJ1Fl0C0gk->2gTJhghMT81QThk15l2VwR","3pBPuLNjn30eidIcFKyIfx"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474754","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:2","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:39","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","3BkYHDW2b4LxsPRJLXlKa9","2gTJhghMT81QThk15l2VwR","3vxMmWz_j0mgJTa6nPhy_B:3BkYHDW2b4LxsPRJLXlKa9->2gTJhghMT81QThk15l2VwR","3vxMmWz_j0mgJTa6nPhy_B"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846979","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:3","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:34","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","3IC75ptmHAcfynDO0H7l6Q","2iPwJwpPDCSgMheXwk9cBT","0PA6R2Jzr52AHk58oxcy4K:3IC75ptmHAcfynDO0H7l6Q->2iPwJwpPDCSgMheXwk9cBT","0PA6R2Jzr52AHk58oxcy4K"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846980","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:4","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:40","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","2ups0JG6n1VvC4pdB0zluW","0fqX614OH1YO1Njdxms2$Q","1ZAknfDjDF1eszlAeNdiun:2ups0JG6n1VvC4pdB0zluW->0fqX614OH1YO1Njdxms2$Q","1ZAknfDjDF1eszlAeNdiun"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474757","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:5","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:40","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","2HMsp_L9P6I8CwQ6HNOQ_0","0fqX614OH1YO1Njdxms2$Q","18SCBIM$j6SxZvzgf0z8dm:2HMsp_L9P6I8CwQ6HNOQ_0->0fqX614OH1YO1Njdxms2$Q","18SCBIM$j6SxZvzgf0z8dm"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846982","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:6","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:41","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","00EBcbCmP36Q43kDOMVxR1","0rh7bRO0L9fg1NzgGKU$Ut","256YYp2JL6Cx0WbxeIKq$J:00EBcbCmP36Q43kDOMVxR1->0rh7bRO0L9fg1NzgGKU$Ut","256YYp2JL6Cx0WbxeIKq$J"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474759","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:7","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:41","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","28d0zpbA1FDgNVOoP3DC9B","0rh7bRO0L9fg1NzgGKU$Ut","13Ef3vovv1FBMPINZDiMkh:28d0zpbA1FDgNVOoP3DC9B->0rh7bRO0L9fg1NzgGKU$Ut","13Ef3vovv1FBMPINZDiMkh"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846984","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:8","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:42","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","0fB$YzpQ9F5fXAwW3qqCyT","3roxUKbVv98xiUcl22_T07","3s2cOWY_f7xgExVmLuOC1F:0fB$YzpQ9F5fXAwW3qqCyT->3roxUKbVv98xiUcl22_T07","3s2cOWY_f7xgExVmLuOC1F"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474761","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:9","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:42","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","30SHzCjOj6gPOjYeg44wl2","3roxUKbVv98xiUcl22_T07","2RqoGRc4HDKxh0mXR9aubO:30SHzCjOj6gPOjYeg44wl2->3roxUKbVv98xiUcl22_T07","2RqoGRc4HDKxh0mXR9aubO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846986","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:10","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:43","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","0PBH0wkMXC_RjGQReUd5h1","0Lvk$Qa81D5et3l3a4S9Vk","1kfOxVaUn7igK3ixTIT1mm:0PBH0wkMXC_RjGQReUd5h1->0Lvk$Qa81D5et3l3a4S9Vk","1kfOxVaUn7igK3ixTIT1mm"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474763","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:11","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:43","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","0kLKoeMc5BnhcvmJ1GtKjL","0Lvk$Qa81D5et3l3a4S9Vk","3xGoWtpb5DkfUR1FSc5StW:0kLKoeMc5BnhcvmJ1GtKjL->0Lvk$Qa81D5et3l3a4S9Vk","3xGoWtpb5DkfUR1FSc5StW"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846988","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:12","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:44","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","2QF6RwHpj16gEJ1wh5SKZA","2ddLgAnQf4mBfh5IpUp54U","1_Mz54MgPEf8invct8zsn4:2QF6RwHpj16gEJ1wh5SKZA->2ddLgAnQf4mBfh5IpUp54U","1_Mz54MgPEf8invct8zsn4"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474765","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:13","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:44","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","0dIg8JLuXAjP9eWTNPMJjH","2ddLgAnQf4mBfh5IpUp54U","1Re7jJq7TFuwWj5pYY61Bl:0dIg8JLuXAjP9eWTNPMJjH->2ddLgAnQf4mBfh5IpUp54U","1Re7jJq7TFuwWj5pYY61Bl"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152921504606846990","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:14","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:45","DEFINED_BY_PROPERTIES","IfcRelDefinesByProperties","1l$mN4mE5EtgtEWbu7EEvJ","2fjJuPht9EIQaZQYZfC1Op","1A$xLWc2zFTAP4pjkGmuxr:1l$mN4mE5EtgtEWbu7EEvJ->2fjJuPht9EIQaZQYZfC1Op","1A$xLWc2zFTAP4pjkGmuxr"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152922604118474767","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:15","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:45","DEFINED_BY_QUANTITIES","IfcRelDefinesByProperties","3wSFIICx575gqnRY4FYR_E","2fjJuPht9EIQaZQYZfC1Op","2AUcjx78L3PAQTSMpi8$sr:3wSFIICx575gqnRY4FYR_E->2fjJuPht9EIQaZQYZfC1Op","2AUcjx78L3PAQTSMpi8$sr"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102544","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:16","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:46","DEFINED_BY_TYPE","IfcRelDefinesByType","39zsrh6sTE69jN0aDa_2y3","0pFmhV8oD1dB40_b4pscr8","2Ca0YqD5bBUxjYPcKrr8dB:39zsrh6sTE69jN0aDa_2y3->0pFmhV8oD1dB40_b4pscr8","2Ca0YqD5bBUxjYPcKrr8dB"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102545","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:17","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:36","DEFINED_BY_TYPE","IfcRelDefinesByType","0_8SeeJGr948J4bU1RPXce","0DyViLJJ175RvWQi1rE7a6","1Dq$Dv2C19kvvXmEBQkP5l:0_8SeeJGr948J4bU1RPXce->0DyViLJJ175RvWQi1rE7a6","1Dq$Dv2C19kvvXmEBQkP5l"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102546","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:18","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:37","DEFINED_BY_TYPE","IfcRelDefinesByType","0KOC4PbVP4CgUUcPIljzX8","3SGBcf7Lv0r80vKtUCgOpf","2j$nW3pT9Fewa4SjRDvSsa:0KOC4PbVP4CgUUcPIljzX8->3SGBcf7Lv0r80vKtUCgOpf","2j$nW3pT9Fewa4SjRDvSsa"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102547","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:19","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:38","DEFINED_BY_TYPE","IfcRelDefinesByType","2JyKYAYaHEEwkOiNxZBS0J","3oNJ9yHi5FJuFnK8yg68Yt","0Lutqys6D3UQmJeJXWcI9a:2JyKYAYaHEEwkOiNxZBS0J->3oNJ9yHi5FJuFnK8yg68Yt","0Lutqys6D3UQmJeJXWcI9a"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102548","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:20","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:47","DEFINED_BY_TYPE","IfcRelDefinesByType","10FwQBcdzD9ve3W6PvBTti","3dkFAzOGrAIuOzY_RdrdVv","22pEICzjP0uQNvM7rXMZ6g:10FwQBcdzD9ve3W6PvBTti->3dkFAzOGrAIuOzY_RdrdVv","22pEICzjP0uQNvM7rXMZ6g"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102549","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:21","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:39","DEFINED_BY_TYPE","IfcRelDefinesByType","3sv$5PJEr5hP_mSgN$A$GJ","2gTJhghMT81QThk15l2VwR","03jzp7gAn8ZhZ3yNm_TOEt:3sv$5PJEr5hP_mSgN$A$GJ->2gTJhghMT81QThk15l2VwR","03jzp7gAn8ZhZ3yNm_TOEt"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102550","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:22","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:34","DEFINED_BY_TYPE","IfcRelDefinesByType","0GE$iSXKL8jAEeHi$mszPq","2iPwJwpPDCSgMheXwk9cBT","3vwqwSGfL8LeMOHvcbNbYk:0GE$iSXKL8jAEeHi$mszPq->2iPwJwpPDCSgMheXwk9cBT","3vwqwSGfL8LeMOHvcbNbYk"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102551","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:40","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","0fqX614OH1YO1Njdxms2$Q","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->0fqX614OH1YO1Njdxms2$Q","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1155175503443787799","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:41","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","0rh7bRO0L9fg1NzgGKU$Ut","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->0rh7bRO0L9fg1NzgGKU$Ut","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1157427303257473047","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:42","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","3roxUKbVv98xiUcl22_T07","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->3roxUKbVv98xiUcl22_T07","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1159679103071158295","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:43","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","0Lvk$Qa81D5et3l3a4S9Vk","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->0Lvk$Qa81D5et3l3a4S9Vk","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1161930902884843543","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:44","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","2ddLgAnQf4mBfh5IpUp54U","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->2ddLgAnQf4mBfh5IpUp54U","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1164182702698528791","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:23","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:45","DEFINED_BY_TYPE","IfcRelDefinesByType","1_UeVn6yDFiQNhUkRsBNZI","2fjJuPht9EIQaZQYZfC1Op","0QaU_JWFP0egFTAfCdiIGO:1_UeVn6yDFiQNhUkRsBNZI->2fjJuPht9EIQaZQYZfC1Op","0QaU_JWFP0egFTAfCdiIGO"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152923703630102552","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:24","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:48","DEFINED_BY_TYPE","IfcRelDefinesByType","1i7uuLYVf6ShdGFfCgAhuD","2r_8UEywH9_RLHe8z$Xa8J","2WxkgoJp57vPJ9Jr6S$j_w:1i7uuLYVf6ShdGFfCgAhuD->2r_8UEywH9_RLHe8z$Xa8J","2WxkgoJp57vPJ9Jr6S$j_w"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:6917531226664337457","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:24","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:49","DEFINED_BY_TYPE","IfcRelDefinesByType","1i7uuLYVf6ShdGFfCgAhuD","2cc4uJUVv5BevbidUpn1H3","2WxkgoJp57vPJ9Jr6S$j_w:1i7uuLYVf6ShdGFfCgAhuD->2cc4uJUVv5BevbidUpn1H3","2WxkgoJp57vPJ9Jr6S$j_w"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152924803141730329","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:25","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:46","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:56","0pFmhV8oD1dB40_b4pscr8","0oKrXjQf58gwTDmoHg_xVx:IfcMaterial:56->0pFmhV8oD1dB40_b4pscr8","0oKrXjQf58gwTDmoHg_xVx"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1152924803141730330","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:36","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","0DyViLJJ175RvWQi1rE7a6","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->0DyViLJJ175RvWQi1rE7a6","0sAYN8OJzFKu1rNoJBdSki"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1155176602955415578","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:37","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","3SGBcf7Lv0r80vKtUCgOpf","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->3SGBcf7Lv0r80vKtUCgOpf","0sAYN8OJzFKu1rNoJBdSki"
"5:23bc656a-a591-4f3c-b93e-c04bc64f1e52:1157428402769100826","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:26","4:23bc656a-a591-4f3c-b93e-c04bc64f1e52:38","ASSOCIATED_MATERIAL","IfcRelAssociatesMaterial","IfcMaterial:81","3oNJ9yHi5FJuFnK8yg68Yt","0sAYN8OJzFKu1rNoJBdSki:IfcMaterial:81->3oNJ9yHi5FJuFnK8yg68Yt","0sAYN8OJzFKu1rNoJBdSki"
